supporto;data_creazione;descrizione;scadenza;fornitore;piva;riferimento;importo;addebito
130649475;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO;2026-01-31;GRUPPO F.B. S.R.L.;03612621213;SALDO FATT 7342;18094.43;2026-02-02/74500.01
130649475;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO;2026-01-31;AXET FACILITY SRL;02778460127;Per la fattura 011659 del 15-12-25;274.16;2026-02-02/74500.01
130649475;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO;2026-01-31;EGO COMMUNICATION S.R.L.;05019870483;RIF.DOCU.NUM. 1-2333 DEL 29-12-2025;188.95;2026-02-02/22218.76
130649475;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO;2026-01-31;GRUPPO F.B. S.R.L.;03612621213;SALDO FATT 7416 MENO NC 7470;12080.07;2026-02-02/74500.01
130649475;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO;2026-01-31;DISTRIBUZIONE 93 S.R.L;01822790471;FATTURA 585;29943.68;2026-02-02/74500.01
130649475;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO;2026-01-31;S.B.A. SRL;03507621211;1242FV-1243FV-1246FV;6590.74;2026-02-02/9288.65
130649475;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO;2026-01-31;GRUPPO F.B. S.R.L.;03612621213;SALDO FATT 7082;3047.07;2026-02-02/74500.01
130649475;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO;2026-01-31;GRUPPO F.B. S.R.L.;03612621213;SALDO FATT 7145;1342.00;2026-02-02/74500.01
130649475;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO;2026-02-10;ARCO SPEDIZIONI SPA;00327210183;Per la fattura num.0095226 del 31-12-25;359.14;2026-02-10/992.62
130649475;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO;2026-02-10;ARCO SPEDIZIONI SPA;00327210183;Per la fattura num.0089591 del 19-12-25;632.68;2026-02-10/992.62
130649693;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO SRL;2026-01-31;BRT S P A;04507990150;201 RB20250010449421 DOC.N.000815203 DEL 31-12-25;142.78;2026-02-02/22218.76
130649693;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO SRL;2026-01-31;BRT S P A;04507990150;201 RB20250010434793 DOC.N.000793831 DEL 31-12-25;123.82;2026-02-02/22218.76
130649693;2026-01-30;SALDO RI.BA SCAD. 30/01/2026 NEW ZAGO SRL;2026-01-31;BRT S P A;04507990150;201 RB20250010440877 DOC.N.000802477 DEL 31-12-25;534.98;2026-02-02/22218.76
